No.  Arbol|No. Arbol en Campo|Nombre Com£n|Nombre Cient¡fico|Altura del  rbol (m);BARRIO|COMUNA|DIRECCION|CIUDAD|TIPO DE EMPLAZAMIENTO|INTERFERENCIA  ¨CUAL?;PUNTO GPS|Latitud|Longitud|OBSERVACIàN|RESPONSABLE
693|693|Guayac n rosado|Tabebuia rosea |0.6|Campo hermoso|Comuna 5 Garcia Rovira |Calle 45#0- 185|Bucaramanga|Parque de la vida |ninguna|23|7.108407;-73.136601|ninguna|Subsecretaria de ambiente 
698|698|Pata de vaca|Bauhinia picta |0.5|Campo hermoso|Comuna 5 Garcia Rovira |Calle 45#0- 190|Bucaramanga|Parque de la vida |ninguna|28|7.108223;-73.136373|ninguna|Subsecretaria de ambiente 
699|699|Saman|Albizia saman |0.65|Campo hermoso|Comuna 5 Garcia Rovira |Calle 45#0- 191|Bucaramanga|Parque de la vida |ninguna|29|7.108993;-73.135934|ninguna|Subsecretaria de ambiente 
1184|1184|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #321|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1185|1185|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #322|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1186|1186|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #323|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1187|1187|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #324|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1188|1188|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #325|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1189|1189|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #326|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1190|1190|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #327|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1191|1191|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #328|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1192|1192|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #329|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1193|1193|Gualanday|Jacaranda caucana |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #330|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1204|1204|Saman |Samanea saman |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #341|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1205|1205|Saman |Samanea saman |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #342|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1206|1206|Saman |Samanea saman |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #343|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1207|1207|Saman |Samanea saman |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #344|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
1208|1208|Saman |Samanea saman |0.4|Porvenir|Comuna 11 Sur|Calle 103 a #345|Bucaramanga|Zona Verde |Ninguna |51|7.085277778;-73.13150556|ninguna|Subsecretaria de ambiente 
